size,VertexIndex,X_mean,X_std,X_min,X_max,Y_mean,Y_std,Y_min,Y_max,Z_mean,Z_std,Z_min,Z_max,Std_Combined
L,0,-0.2701881186528639,0.0058721628985784575,-0.2832620143890381,-0.2559159994125366,0.017437545447186942,0.0021563072406122386,0.0125120021402835,0.0230480022728443,0.14568157168951898,0.008638671703344784,0.1267600059509277,0.1629959940910339,0.010665767990235301
L,1,-0.2746012603694742,0.006308718087371998,-0.2884600162506103,-0.258760005235672,-0.0012595728209072686,0.0024297413890639772,-0.0073429979383945,0.0045030005276203,0.1512936100363731,0.00911681667632493,0.1307190060615539,0.1695930063724517,0.011349886053762016
L,2,-0.08963344530625772,0.0029718704012094465,-0.0953970253467559,-0.0826359987258911,0.022851836173371786,0.0008545585596698469,0.0205640010535717,0.0248770006000995,0.09985674538395617,0.004804725759834609,0.088015004992485,0.1105860024690628,0.005713814281258016
L,3,-0.0874517979947003,0.003091453536851635,-0.093511015176773,-0.0800690054893493,0.004472118175842488,0.0013439227496159028,0.0009510032832622,0.0079590007662773,0.1006514998322183,0.0051605996027605005,0.0885140001773834,0.1119479984045028,0.006164008564843132
L,4,-0.11274159848690028,0.0035759984585897295,-0.1197110116481781,-0.1041179895401001,0.007252336361191442,0.001415966020892097,0.0033500008285045,0.0110430009663105,0.10276284549723967,0.005877810888925962,0.0885099992156028,0.1157110035419464,0.007024342360259338
L,5,-0.11486831713806495,0.0034707715146039667,-0.1216180026531219,-0.1066069900989532,0.025661454485221294,0.0010226358686282104,0.0230130031704902,0.0278999991714954,0.10168239135633811,0.005392676361063462,0.0881120041012764,0.1137290000915527,0.00649407401879313
L,6,-0.24460175457325845,0.0047133765916978244,-0.2556729912757873,-0.2343810051679611,0.07755360887809229,0.002527492431721639,0.0706880018115043,0.0837600007653236,0.11256627284667704,0.0051099263964749075,0.1004699990153312,0.1234169974923133,0.007396991595572229
L,7,-0.24455333541740068,0.004487864283493467,-0.2551689743995666,-0.2351759970188141,0.09609703590924085,0.0024800832766836236,0.0890440046787262,0.1023419946432113,0.08964696363969278,0.003829310293560083,0.0802970007061958,0.0984029993414878,0.006399637193678039
L,8,-0.23142995441501787,0.004440294214282754,-0.2417179942131042,-0.221668004989624,0.08947716307911002,0.002268288298691245,0.0830010026693344,0.0952969938516616,0.09077413664622735,0.003961233054023891,0.0809319987893104,0.0998170003294944,0.006368101116004987
L,9,-0.22974002632227808,0.004657100004195561,-0.2403769940137863,-0.2192360013723373,0.06963641826402053,0.0023996669827450073,0.0632000043988227,0.0761109963059425,0.11151089079000728,0.0052208912791741075,0.0997269973158836,0.1225249990820884,0.007396261746727943
L,10,-0.2669746096838604,0.007147490510712725,-0.2818460166454315,-0.2488970011472702,-0.01830940929834134,0.0025913433888881798,-0.025152999907732,-0.0129680000245571,0.14217609979889606,0.008645318858724858,0.1221760064363479,0.1597000062465667,0.011512741607839837
